title,average_score,num_scores
Nirvana in Fire,9.406040268456376,149
Signal,9.337367624810893,661
Battle of Changsha,9.310344827586206,87
Six Flying Dragons,9.299126637554584,229
Miracle in Cell No. 7,9.292336217552535,809
Hope,9.259920634920634,252
Dear My Friends,9.190721649484535,97
Harakiri,9.161290322580646,31
Healer,9.152656355077337,1487
"Kill Me, Heal Me",9.075660242683798,1401
Age of Youth,9.044364508393285,417
The Bridal Mask,9.040112994350283,885
Incomplete Life,9.024475524475525,429
The Crucible,9.012724550898204,668
I Hear Your Voice,9.0,1789
Nankyoku Tairiku - Kami no Ryouiki ni Idomunda Otoko to Inu no Monogatari,9.0,78
"It's Okay, That's Love",8.995086923658352,1323
Hanzawa Naoki,8.982412060301508,199
The Man From Nowhere,8.979901960784314,1020
Reply 1988,8.970957613814758,637
Our Times,8.940045248868778,442
Cruel City,8.94,750
Amachan,8.9375,48
"Soredemo, Ikite Yuku",8.934931506849315,146
Reply 1997,8.92604226156482,1751
Ode To My Father,8.913636363636364,110
Memory,8.895522388059701,67
Bad Guys,8.89327731092437,595
A Werewolf Boy,8.892814371257485,1670
The Master's Sun,8.885378590078329,1915
1 Litre of Tears,8.879310344827585,1334
You Who Came from the Stars,8.875838926174497,1937
Hachiko Monogatari,8.872727272727273,110
Empress Ki,8.872529644268775,506
Harmony,8.872093023255815,215
Nine: Nine Times Time Travel,8.87,550
Train to Busan,8.86928702010969,547
Queen Seon Duk,8.860153256704981,261
Descendants of the Sun,8.859020852221215,1103
Kazoku Game,8.856958762886597,388
Queen In Hyun's Man,8.854786545924968,1546
Sunny,8.853767560664112,783
Rurouni Kenshin: The Legend Ends,8.850136239782016,367
Seven Samurai,8.834782608695653,115
City Of Life And Death,8.833333333333334,27
Rurouni Kenshin: Kyoto Inferno,8.830607476635514,428
Kamen Rider OOO,8.824324324324325,37
The Princess' Man,8.821182943603851,727
Drama Special Series Season 1: White Christmas,8.815896739130435,736
Tonbi,8.813793103448276,145
Scarlet Heart,8.808118081180812,271
Love O2O,8.801724137931034,348
Liar Game,8.79249617151608,653
JIN 2,8.78921568627451,102
Rurouni Kenshin,8.779123414071512,867
Splash Splash LOVE,8.769557021677663,1061
Tenno no Ryoriban,8.760330578512397,121
Legal High 2,8.739837398373984,123
Autumn's Concerto,8.739759036144578,830
Memories of Matsuko,8.738938053097344,113
Pinocchio,8.738731856378916,1309
LIAR GAME 2,8.735023041474655,651
As One,8.734899328859061,298
Tae Guk Gi: The Brotherhood of War,8.728643216080402,199
Way Back Home,8.724137931034482,87
71: Into the Fire,8.722081218274111,394
Two Weeks,8.720674486803519,682
The Eternal Zero,8.716216216216216,74
History of the Salaryman,8.710629921259843,254
Confessions,8.708022388059701,536
Juhan Shuttai!,8.707142857142857,70
City Hunter,8.706913339824732,2054
N no Tame ni,8.700680272108844,147
Liar Game: The Final Stage,8.7,510
Vampire Prosecutor 2,8.699524940617577,421
Missing Noir M,8.69083969465649,262
Secret Garden,8.685836909871245,2330
Northern Limit Line,8.677631578947368,76
My Way,8.671532846715328,137
Jewel in the Palace,8.67123287671233,365
"King's Daughter, Soo Baek Hyang",8.668316831683168,101
God's Quiz Season 3,8.667785234899329,149
